location,date,vaccine,total_vaccinations,source_url
Austria,2020-12-30,Pfizer/BioNTech,6000,https://www.sozialministerium.at/Corona-Schutzimpfung/Corona-Schutzimpfung.html
Austria,2021-01-07,Pfizer/BioNTech,15905,https://www.sozialministerium.at/Corona-Schutzimpfung/Corona-Schutzimpfung.html
